samples,slides,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,labels
CMB-BRCA_MSB-00156,MSB-00156-01-05,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,1.3916186007972131,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,0.9861534926890488,-0.4001408684308418,-0.4001408684308418,1.2092970440032584,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,1.2092970440032584,-0.4001408684308418,-0.4001408684308418,0.6984714202372678,-0.4001408684308418,1.2092970440032584,1.3916186007972131,-0.4001408684308418,1.2092970440032584,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,-0.4001408684308418,0.6984714202372678,-0.4001408684308418,1
CMB-BRCA_MSB-00587,MSB-00587-01-01,-0.5000430326795757,2.59099942067874,-0.5000430326795757,-0.5000430326795757,1.8978522401187947,-0.5000430326795757,2.5444794050438473,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,2.3331703113766404,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,0.19310414788036953,2.832161477495628,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,1.1093948797545246,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,-0.5000430326795757,1
CMB-BRCA_MSB-01798,MSB-01798-02-02,2.533967358596333,2.16129207331116,-0.17408284250587688,1.4998935910657947,-0.17408284250587688,-0.17408284250587688,-0.17408284250587688,-1.2726951311739865,-0.5795479506140412,0.8067464105058494,-0.5795479506140412,0.9245294461622329,0.6732150178813268,0.9245294461622329,-1.2726951311739865,0.5190643380540684,-0.17408284250587688,0.11359922994590411,-0.17408284250587688,-0.5795479506140412,-0.17408284250587688,-0.5795479506140412,0.33674278126011375,0.11359922994590411,0.5190643380540684,1.6717438479924538,-1.2726951311739865,-1.2726951311739865,0.11359922994590411,-1.2726951311739865,-1.2726951311739865,-0.5795479506140412,0.11359922994590411,-1.2726951311739865,1
CMB-BRCA_MSB-02137,MSB-02137-01-02,-1.1004290465119428,0.9790124951678931,-0.4072818659519975,-1.1004290465119428,1.464520310949594,-1.1004290465119428,2.3335581579732034,-1.1004290465119428,1.789942711384222,2.3007683351502126,0.8454811025433705,-1.1004290465119428,-0.4072818659519975,-0.4072818659519975,-1.1004290465119428,-1.1004290465119428,-1.1004290465119428,-1.1004290465119428,-0.4072818659519975,1.0967955308242765,-1.1004290465119428,1.6076211545902672,2.077624783836003,-0.4072818659519975,-1.1004290465119428,-0.0018167578438331492,-1.1004290465119428,-0.4072818659519975,-1.1004290465119428,1.0967955308242765,-1.1004290465119428,-1.1004290465119428,0.5090088659221575,2.8508146720694847,1
CMB-BRCA_MSB-02664,MSB-02664-01-05,0.7183655179801715,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,1.229191141746162,0.312900409872007,-0.3802467706879383,-0.3802467706879383,2.7107956826703776,2.1847025867735987,0.312900409872007,-0.3802467706879383,0.7183655179801715,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,1.6991947709918978,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,-0.3802467706879383,1
CMB-BRCA_MSB-02664,MSB-02664-01-10,-0.04077336356234973,0.6523738169975956,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,0.6523738169975956,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,-0.04077336356234973,1
CMB-BRCA_MSB-04856,MSB-04856-01-02,-0.0705263315528933,2.3273689412454774,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,-0.0705263315528933,1
CMB-BRCA_MSB-05650,MSB-05650-01-02,-0.3948818173280725,2.2441755122871863,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,2.6496406203953504,-0.3948818173280725,0.2982653632318728,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,0.2982653632318728,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,-0.3948818173280725,2.0900248324599278,-0.3948818173280725,-0.3948818173280725,0.7037304713400372,-0.3948818173280725,-0.3948818173280725,0.2982653632318728,-0.3948818173280725,-0.3948818173280725,0.9914125437918181,-0.3948818173280725,0.2982653632318728,1
CMB-BRCA_MSB-05960,MSB-05960-01-01,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,0.5996750090791233,-0.09347217148082199,0.5996750090791233,-0.09347217148082199,1.698287297747233,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,-0.09347217148082199,1
CMB-BRCA_MSB-06586,MSB-06586-03-01,-0.219659709807104,0.8789525788610058,-0.219659709807104,-0.9128068903670493,1.033103258688264,1.4850883824313212,1.033103258688264,-0.219659709807104,0.4734874707528413,0.696631022067051,0.1858053983010605,0.1858053983010605,1.2844176869691701,-0.9128068903670493,0.1858053983010605,-0.9128068903670493,1.4850883824313212,0.4734874707528413,-0.9128068903670493,-0.9128068903670493,-0.9128068903670493,0.4734874707528413,-0.219659709807104,-0.9128068903670493,-0.9128068903670493,-0.219659709807104,-0.9128068903670493,-0.9128068903670493,-0.9128068903670493,1.9204064536891667,0.696631022067051,-0.9128068903670493,-0.219659709807104,-0.219659709807104,1
